instance_name	LB	OPT
class4_20_3_2	7	8
class4_20_3_3	8	8
class4_20_3_4	10	11
class4_20_3_5	8	10
class4_20_3_6	8	9
class4_20_3_7	7	7
class4_20_3_8	9	10
class4_20_3_9	9	10
class4_40_3_0	14	15
class4_40_3_1	16	16
class4_40_3_2	19	20
class4_40_3_3	14	15
class4_40_3_4	19	20
class4_40_3_5	15	15
class4_40_3_6	13	14
class4_40_3_7	15	16
class4_40_3_8	16	17
class4_40_3_9	14	14
class4_60_3_0	24	24
class4_60_3_1	22	23
class4_60_3_2	24	26
class4_60_3_3	22	24
class4_60_3_4	24	24
class4_60_3_5	25	26
class4_60_3_6	24	25
class4_60_3_7	26	28
class4_60_3_8	24	25
class4_60_3_9	21	22
class4_120_3_0	45	46
class4_120_3_1	43	45
class4_120_3_2	44	45
class4_120_3_3	45	45
class4_120_3_4	43	44
class4_120_3_5	43	45
class4_120_3_6	46	47
class4_120_3_7	43	43
class4_120_3_8	42	42
class4_120_3_9	44	44
class4_250_3_0	90	94
class4_250_3_1	87	87
class4_250_3_2	93	94
class4_250_3_3	93	95
class4_250_3_4	94	94
class4_250_3_5	87	87
class4_250_3_6	89	91
class4_250_3_7	91	91
class4_250_3_8	95	95
class4_250_3_9	89	90
class4_500_3_0	179	-1
class4_500_3_1	179	-1
class4_500_3_2	178	-1
class4_500_3_3	173	-1
class4_500_3_4	179	-1
class4_500_3_5	182	-1
class4_500_3_6	179	-1
class4_500_3_7	184	-1
class4_500_3_8	179	-1
class4_500_3_9	178	-1
class4_20_5_0	7	8
class4_20_5_1	10	10
class4_20_5_2	8	10
class4_20_5_3	8	9
class4_20_5_4	8	10
class4_20_5_5	8	9
class4_20_5_6	11	11
class4_20_5_7	8	10
class4_20_5_8	10	11
class4_20_5_9	9	10
class4_40_5_0	15	19
class4_40_5_1	14	15
class4_40_5_2	16	19
class4_40_5_3	15	19
class4_40_5_4	14	15
class4_40_5_5	16	18
class4_40_5_6	17	20
class4_40_5_7	17	18
class4_40_5_8	17	19
class4_40_5_9	16	17
class4_60_5_0	24	27
class4_60_5_1	24	26
class4_60_5_2	25	28
class4_60_5_3	25	26
class4_60_5_4	22	24
class4_60_5_5	22	24
class4_60_5_6	23	25
class4_60_5_7	24	26
class4_60_5_8	24	27
class4_60_5_9	22	26
class4_120_5_0	47	50
class4_120_5_1	47	50
class4_120_5_2	45	48
class4_120_5_3	45	48
class4_120_5_4	44	51
class4_120_5_5	43	46
class4_120_5_6	44	48
class4_120_5_7	42	46
class4_120_5_8	44	49
class4_120_5_9	45	49
class4_250_5_0	92	98
class4_250_5_1	90	97
class4_250_5_2	89	96
class4_250_5_3	90	99
class4_250_5_4	93	100
class4_250_5_5	97	105
class4_250_5_6	90	95
class4_250_5_7	90	95
class4_250_5_8	93	103
class4_250_5_9	90	97
class4_500_5_0	176	-1
class4_500_5_1	185	-1
class4_500_5_2	185	-1
class4_500_5_3	179	-1
class4_500_5_4	184	-1
class4_500_5_5	180	-1
class4_500_5_6	179	-1
class4_500_5_7	184	-1
class4_500_5_8	178	-1
class4_500_5_9	180	-1
class4_20_10_0	13	13
class4_20_10_1	13	13
class4_20_10_2	13	14
class4_20_10_3	13	14
class4_20_10_4	8	10
class4_20_10_5	9	12
class4_20_10_6	12	12
class4_20_10_7	10	12
class4_20_10_8	10	11
class4_20_10_9	11	12
class4_40_10_0	18	20
class4_40_10_1	20	23
class4_40_10_2	21	24
class4_40_10_3	19	22
class4_40_10_4	15	20
class4_40_10_5	17	21
class4_40_10_6	19	22
class4_40_10_7	23	23
class4_40_10_8	20	22
class4_40_10_9	27	27
class4_60_10_0	25	31
class4_60_10_1	25	33
class4_60_10_2	34	34
class4_60_10_3	26	31
class4_60_10_4	28	34
class4_60_10_5	34	36
class4_60_10_6	27	31
class4_60_10_7	28	32
class4_60_10_8	29	32
class4_60_10_9	23	29
class4_120_10_0	49	63
class4_120_10_1	54	62
class4_120_10_2	51	63
class4_120_10_3	48	60
class4_120_10_4	51	59
class4_120_10_5	45	59
class4_120_10_6	49	63
class4_120_10_7	48	57
class4_120_10_8	44	58
class4_120_10_9	50	60
class4_250_10_0	90	116
class4_250_10_1	92	120
class4_250_10_2	94	116
class4_250_10_3	94	114
class4_250_10_4	89	113
class4_250_10_5	95	123
class4_250_10_6	96	124
class4_250_10_7	93	119
class4_250_10_8	95	116
class4_250_10_9	95	120
class4_500_10_0	180	-1
class4_500_10_1	179	-1
class4_500_10_2	189	-1
class4_500_10_3	182	-1
class4_500_10_4	183	-1
class4_500_10_5	183	-1
class4_500_10_6	182	-1
class4_500_10_7	184	-1
class4_500_10_8	180	-1
class4_500_10_9	175	-1
class5_20_3_0	7	7
class5_20_3_1	7	8
class5_20_3_2	6	6
class5_20_3_3	7	7
class5_20_3_4	8	9
class5_20_3_5	9	9
class5_20_3_6	5	5
class5_20_3_7	7	7
class5_20_3_8	7	8
class5_20_3_9	7	8
class5_40_3_0	12	13
class5_40_3_1	13	13
class5_40_3_2	13	14
class5_40_3_3	11	11
class5_40_3_4	12	13
class5_40_3_5	13	13
class5_40_3_6	11	11
class5_40_3_7	14	14
class5_40_3_8	14	14
class5_40_3_9	12	13
class5_60_3_0	17	18
class5_60_3_1	17	19
class5_60_3_2	16	17
class5_60_3_3	16	16
class5_60_3_4	21	22
class5_60_3_5	20	22
class5_60_3_6	19	20
class5_60_3_7	20	22
class5_60_3_8	20	21
class5_60_3_9	18	18
class5_120_3_0	33	35
class5_120_3_1	37	37
class5_120_3_2	39	40
class5_120_3_3	41	49
class5_120_3_4	36	40
class5_120_3_5	35	35
class5_120_3_6	36	37
class5_120_3_7	39	41
class5_120_3_8	31	32
class5_120_3_9	35	35
class5_250_3_0	65	-1
class5_250_3_1	66	-1
class5_250_3_2	69	-1
class5_250_3_3	67	-1
class5_250_3_4	70	-1
class5_250_3_5	67	-1
class5_250_3_6	70	-1
class5_250_3_7	76	-1
class5_250_3_8	68	-1
class5_250_3_9	72	-1
class5_500_3_0	140	-1
class5_500_3_1	133	-1
class5_500_3_2	144	-1
class5_500_3_3	129	-1
class5_500_3_4	137	-1
class5_500_3_5	157	-1
class5_500_3_6	143	-1
class5_500_3_7	144	-1
class5_500_3_8	142	-1
class5_500_3_9	139	-1
class5_20_5_0	8	9
class5_20_5_1	11	11
class5_20_5_2	9	10
class5_20_5_3	7	7
class5_20_5_4	6	7
class5_20_5_5	9	9
class5_20_5_6	10	12
class5_20_5_7	6	7
class5_20_5_8	7	8
class5_20_5_9	7	7
class5_40_5_0	12	15
class5_40_5_1	12	13
class5_40_5_2	15	16
class5_40_5_3	15	17
class5_40_5_4	14	16
class5_40_5_5	11	13
class5_40_5_6	13	15
class5_40_5_7	12	13
class5_40_5_8	14	14
class5_40_5_9	13	15
class5_60_5_0	18	21
class5_60_5_1	17	19
class5_60_5_2	20	25
class5_60_5_3	18	23
class5_60_5_4	19	22
class5_60_5_5	21	21
class5_60_5_6	18	19
class5_60_5_7	16	17
class5_60_5_8	18	20
class5_60_5_9	18	22
class5_120_5_0	33	38
class5_120_5_1	37	41
class5_120_5_2	37	42
class5_120_5_3	38	43
class5_120_5_4	39	43
class5_120_5_5	35	39
class5_120_5_6	35	39
class5_120_5_7	37	40
class5_120_5_8	36	42
class5_120_5_9	37	41
class5_250_5_0	70	-1
class5_250_5_1	67	-1
class5_250_5_2	70	-1
class5_250_5_3	73	-1
class5_250_5_4	76	-1
class5_250_5_5	71	-1
class5_250_5_6	74	-1
class5_250_5_7	71	-1
class5_250_5_8	69	-1
class5_250_5_9	70	-1
class5_500_5_0	140	-1
class5_500_5_1	143	-1
class5_500_5_2	136	-1
class5_500_5_3	138	-1
class5_500_5_4	138	-1
class5_500_5_5	136	-1
class5_500_5_6	140	-1
class5_500_5_7	140	-1
class5_500_5_8	141	-1
class5_500_5_9	139	-1
class5_20_10_0	9	10
class5_20_10_1	12	12
class5_20_10_2	9	10
class5_20_10_3	7	10
class5_20_10_4	11	12
class5_20_10_5	13	14
class5_20_10_6	12	12
class5_20_10_7	11	11
class5_20_10_8	12	13
class5_20_10_9	11	11
class5_40_10_0	20	22
class5_40_10_1	15	18
class5_40_10_2	19	21
class5_40_10_3	16	20
class5_40_10_4	18	21
class5_40_10_5	13	16
class5_40_10_6	23	24
class5_40_10_7	14	18
class5_40_10_8	16	19
class5_40_10_9	17	19
class5_60_10_0	19	24
class5_60_10_1	27	30
class5_60_10_2	23	27
class5_60_10_3	20	23
class5_60_10_4	22	27
class5_60_10_5	20	25
class5_60_10_6	26	27
class5_60_10_7	22	27
class5_60_10_8	19	24
class5_60_10_9	21	25
class5_120_10_0	42	49
class5_120_10_1	46	53
class5_120_10_2	48	55
class5_120_10_3	37	44
class5_120_10_4	37	47
class5_120_10_5	40	49
class5_120_10_6	36	45
class5_120_10_7	39	49
class5_120_10_8	50	55
class5_120_10_9	48	54
class5_250_10_0	81	-1
class5_250_10_1	76	-1
class5_250_10_2	74	-1
class5_250_10_3	84	-1
class5_250_10_4	72	-1
class5_250_10_5	96	-1
class5_250_10_6	72	-1
class5_250_10_7	86	-1
class5_250_10_8	74	-1
class5_250_10_9	77	-1
class5_500_10_0	136	-1
class5_500_10_1	140	-1
class5_500_10_2	139	-1
class5_500_10_3	139	-1
class5_500_10_4	142	-1
class5_500_10_5	145	-1
class5_500_10_6	143	-1
class5_500_10_7	142	-1
class5_500_10_8	146	-1
class5_500_10_9	145	-1
class6_20_3_0	7	7
class6_20_3_1	7	7
class6_20_3_2	6	7
class6_20_3_3	5	5
class6_20_3_4	6	7
class6_20_3_5	5	5
class6_20_3_6	5	5
class6_20_3_7	5	6
class6_20_3_8	4	4
class6_20_3_9	6	6
class6_40_3_0	9	9
class6_40_3_1	11	11
class6_40_3_2	12	12
class6_40_3_3	10	10
class6_40_3_4	12	12
class6_40_3_5	9	9
class6_40_3_6	10	10
class6_40_3_7	10	10
class6_40_3_8	12	12
class6_40_3_9	11	12
class6_60_3_0	15	15
class6_60_3_1	14	15
class6_60_3_2	14	14
class6_60_3_3	14	15
class6_60_3_4	15	15
class6_60_3_5	14	14
class6_60_3_6	15	15
class6_60_3_7	13	13
class6_60_3_8	15	15
class6_60_3_9	17	17
class6_120_3_0	25	-1
class6_120_3_1	25	-1
class6_120_3_2	30	30
class6_120_3_3	31	-1
class6_120_3_4	28	-1
class6_120_3_5	29	-1
class6_120_3_6	34	-1
class6_120_3_7	28	-1
class6_120_3_8	25	-1
class6_120_3_9	28	-1
class6_250_3_0	60	-1
class6_250_3_1	52	-1
class6_250_3_2	55	-1
class6_250_3_3	64	-1
class6_250_3_4	57	-1
class6_250_3_5	55	-1
class6_250_3_6	60	-1
class6_250_3_7	67	-1
class6_250_3_8	53	-1
class6_250_3_9	59	-1
class6_500_3_0	109	-1
class6_500_3_1	116	-1
class6_500_3_2	110	-1
class6_500_3_3	113	-1
class6_500_3_4	124	-1
class6_500_3_5	109	-1
class6_500_3_6	111	-1
class6_500_3_7	125	-1
class6_500_3_8	113	-1
class6_500_3_9	112	-1
class6_20_5_0	6	7
class6_20_5_1	6	7
class6_20_5_2	7	7
class6_20_5_3	6	6
class6_20_5_4	5	5
class6_20_5_5	6	6
class6_20_5_6	7	8
class6_20_5_7	7	7
class6_20_5_8	6	6
class6_20_5_9	7	8
class6_40_5_0	13	13
class6_40_5_1	13	13
class6_40_5_2	10	10
class6_40_5_3	12	12
class6_40_5_4	11	13
class6_40_5_5	11	12
class6_40_5_6	13	13
class6_40_5_7	10	10
class6_40_5_8	10	10
class6_40_5_9	13	13
class6_60_5_0	17	18
class6_60_5_1	17	17
class6_60_5_2	14	14
class6_60_5_3	16	16
class6_60_5_4	17	17
class6_60_5_5	15	15
class6_60_5_6	16	16
class6_60_5_7	15	15
class6_60_5_8	16	16
class6_60_5_9	18	19
class6_120_5_0	31	33
class6_120_5_1	31	-1
class6_120_5_2	30	31
class6_120_5_3	29	-1
class6_120_5_4	35	-1
class6_120_5_5	30	-1
class6_120_5_6	32	-1
class6_120_5_7	26	-1
class6_120_5_8	28	-1
class6_120_5_9	28	-1
class6_250_5_0	63	-1
class6_250_5_1	58	-1
class6_250_5_2	57	-1
class6_250_5_3	63	-1
class6_250_5_4	58	-1
class6_250_5_5	62	-1
class6_250_5_6	60	-1
class6_250_5_7	60	-1
class6_250_5_8	65	-1
class6_250_5_9	60	-1
class6_500_5_0	117	-1
class6_500_5_1	110	-1
class6_500_5_2	122	-1
class6_500_5_3	115	-1
class6_500_5_4	116	-1
class6_500_5_5	121	-1
class6_500_5_6	115	-1
class6_500_5_7	125	-1
class6_500_5_8	124	-1
class6_500_5_9	120	-1
class6_20_10_0	5	-1
class6_20_10_1	6	-1
class6_20_10_2	8	-1
class6_20_10_3	6	-1
class6_20_10_4	7	-1
class6_20_10_5	6	-1
class6_20_10_6	6	-1
class6_20_10_7	8	-1
class6_20_10_8	6	-1
class6_20_10_9	8	-1
class6_40_10_0	11	-1
class6_40_10_1	12	-1
class6_40_10_2	13	-1
class6_40_10_3	14	-1
class6_40_10_4	10	-1
class6_40_10_5	13	-1
class6_40_10_6	11	-1
class6_40_10_7	12	-1
class6_40_10_8	13	-1
class6_40_10_9	12	-1
class6_60_10_0	16	-1
class6_60_10_1	18	-1
class6_60_10_2	19	-1
class6_60_10_3	17	-1
class6_60_10_4	18	-1
class6_60_10_5	19	-1
class6_60_10_6	17	-1
class6_60_10_7	16	-1
class6_60_10_8	18	-1
class6_60_10_9	17	-1
class6_120_10_0	31	-1
class6_120_10_1	33	-1
class6_120_10_2	31	-1
class6_120_10_3	30	-1
class6_120_10_4	30	-1
class6_120_10_5	28	-1
class6_120_10_6	32	-1
class6_120_10_7	33	-1
class6_120_10_8	33	-1
class6_120_10_9	32	-1
class6_250_10_0	63	-1
class6_250_10_1	59	-1
class6_250_10_2	59	-1
class6_250_10_3	65	-1
class6_250_10_4	61	-1
class6_250_10_5	64	-1
class6_250_10_6	59	-1
class6_250_10_7	64	-1
class6_250_10_8	66	-1
class6_250_10_9	61	-1
class6_500_10_0	116	-1
class6_500_10_1	116	-1
class6_500_10_2	119	-1
class6_500_10_3	117	-1
class6_500_10_4	117	-1
class6_500_10_5	112	-1
class6_500_10_6	120	-1
class6_500_10_7	119	-1
class6_500_10_8	122	-1
class6_500_10_9	122	-1
